date,AI agents,LLM,computer vision,robotics
2025-06-08,6,33,3,14
2025-06-15,6,31,3,14
2025-06-22,5,31,3,15
2025-06-29,5,30,3,14
2025-07-06,5,31,3,15
2025-07-13,5,32,3,16
2025-07-20,6,31,3,16
2025-07-27,7,33,3,19
2025-08-03,12,57,4,27
2025-08-10,20,72,6,42
2025-08-17,18,61,6,37
2025-08-24,13,51,5,32
2025-08-31,14,52,5,35
2025-09-07,12,48,6,35
2025-09-14,13,47,6,36
2025-09-21,21,52,6,46
2025-09-28,18,51,6,44
2025-10-05,17,47,6,43
2025-10-12,18,52,6,40
2025-10-19,16,49,6,38
2025-10-26,15,44,4,37
2025-11-02,15,49,5,37
2025-11-09,15,47,5,35
2025-11-16,16,51,6,38
2025-11-23,15,49,7,36
2025-11-30,18,52,7,41
2025-12-07,16,51,7,35
2025-12-14,15,49,6,32
2025-12-21,11,43,4,24
2025-12-28,12,39,4,24
2026-01-04,13,47,5,36
2026-01-11,14,54,6,37
2026-01-18,15,54,7,38
2026-01-25,17,57,7,38
2026-02-01,22,55,8,40
2026-02-08,19,59,12,42
2026-02-15,20,60,15,44
2026-02-22,23,72,11,39
2026-03-01,29,84,8,45
2026-03-08,30,74,7,42
2026-03-15,30,75,12,48
2026-03-22,30,79,12,47
2026-03-29,31,76,15,52
2026-04-05,28,80,15,49
2026-04-12,31,89,14,52
2026-04-19,33,81,14,48
2026-04-26,36,97,14,50
2026-05-03,43,94,15,57
2026-05-10,45,98,17,61
2026-05-17,44,100,15,56
2026-05-24,17,50,7,29
2026-05-31,14,47,5,27
2026-06-07,13,45,6,24
