date,longevity,weight loss drug,venture capital,bitcoin,reshoring,creator economy
2025-06-08,1,0,2,32,0,5
2025-06-15,1,0,2,29,0,5
2025-06-22,1,0,1,30,0,4
2025-06-29,1,0,1,29,0,3
2025-07-06,1,0,1,37,0,4
2025-07-13,1,0,1,49,0,3
2025-07-20,1,0,1,38,0,5
2025-07-27,2,0,2,39,0,7
2025-08-03,2,0,2,48,0,14
2025-08-10,3,0,3,70,0,27
2025-08-17,3,0,3,60,0,24
2025-08-24,3,0,2,51,0,20
2025-08-31,4,0,3,45,0,28
2025-09-07,3,0,3,42,0,33
2025-09-14,3,0,3,40,0,33
2025-09-21,3,1,4,41,0,91
2025-09-28,4,0,4,46,0,100
2025-10-05,3,0,3,56,0,84
2025-10-12,3,1,3,61,0,87
2025-10-19,3,0,4,48,0,82
2025-10-26,3,0,3,44,0,61
2025-11-02,3,0,3,51,0,71
2025-11-09,3,0,3,49,0,72
2025-11-16,3,0,3,82,0,86
2025-11-23,4,0,4,62,0,93
2025-11-30,4,0,4,60,0,81
2025-12-07,3,0,3,46,0,67
2025-12-14,3,0,3,48,0,51
2025-12-21,3,0,2,38,0,38
2025-12-28,3,0,2,36,0,37
2026-01-04,3,0,3,39,0,33
2026-01-11,3,0,3,37,0,25
2026-01-18,3,0,3,37,0,26
2026-01-25,3,0,3,46,0,25
2026-02-01,4,0,4,100,0,21
2026-02-08,3,0,3,70,0,19
2026-02-15,4,0,4,48,0,20
2026-02-22,4,0,4,54,0,24
2026-03-01,4,0,4,55,0,36
2026-03-08,4,0,4,47,0,41
2026-03-15,4,0,4,44,0,40
2026-03-22,4,0,4,43,0,40
2026-03-29,4,0,4,44,0,42
2026-04-05,4,0,4,43,0,43
2026-04-12,4,0,3,43,0,41
2026-04-19,3,0,3,38,0,45
2026-04-26,4,0,4,35,0,47
2026-05-03,4,0,4,41,0,58
2026-05-10,5,0,4,37,0,71
2026-05-17,4,0,4,35,0,63
2026-05-24,2,0,2,25,0,21
2026-05-31,2,0,2,41,0,15
2026-06-07,2,0,1,38,0,17
